CRASH_RECORD_ID,by_year_crash_date,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,ROAD_DEFECT
1,01/01/2019 12:00:00 AM,FLASHING CONTROL SIGNAL,NOT FUNCTIONING,UNKNOWN
1,01/01/2022 12:00:00 AM,DELINEATORS,FUNCTIONING PROPERLY,UNKNOWN
13,01/01/2019 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,UNKNOWN
6,01/01/2021 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,OTHER
1,01/01/2020 12:00:00 AM,NO CONTROLS,UNKNOWN,"RUT, HOLES"
2,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,"RUT, HOLES"
2033,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN
1,01/01/2021 12:00:00 AM,OTHER REG. SIGN,NOT FUNCTIONING,NO DEFECTS
1,01/01/2023 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING IMPROPERLY,UNKNOWN
4,01/01/2019 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,"RUT, HOLES"
139,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,NO DEFECTS
401,01/01/2020 12:00:00 AM,NO CONTROLS,UNKNOWN,NO DEFECTS
2,01/01/2021 12:00:00 AM,SCHOOL ZONE,UNKNOWN,UNKNOWN
1,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,NO CONTROLS,UNKNOWN
6,01/01/2023 12:00:00 AM,RR CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
7,01/01/2022 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2023 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,WORN SURFACE
2,01/01/2021 12:00:00 AM,POLICE/FLAGMAN,WORN REFLECTIVE MATERIAL,NO DEFECTS
2,01/01/2020 12:00:00 AM,PEDESTRIAN CROSSING SIGN,WORN REFLECTIVE MATERIAL,NO DEFECTS
6,01/01/2023 12:00:00 AM,RAILROAD CROSSING GATE,NO CONTROLS,NO DEFECTS
1,01/01/2019 12:00:00 AM,UNKNOWN,NOT FUNCTIONING,UNKNOWN
1,01/01/2021 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,OTHER
1,01/01/2021 12:00:00 AM,UNKNOWN,UNKNOWN,DEBRIS ON ROADWAY
49,01/01/2021 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,NO CONTROLS,OTHER
1,01/01/2019 12:00:00 AM,NO CONTROLS,WORN REFLECTIVE MATERIAL,DEBRIS ON ROADWAY
58,01/01/2022 12:00:00 AM,UNKNOWN,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2020 12:00:00 AM,YIELD,UNKNOWN,SHOULDER DEFECT
2,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,DEBRIS ON ROADWAY
23,01/01/2021 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,UNKNOWN
221,01/01/2019 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2022 12:00:00 AM,OTHER RAILROAD CROSSING,UNKNOWN,NO DEFECTS
1,01/01/2023 12:00:00 AM,BICYCLE CROSSING SIGN,NO CONTROLS,NO DEFECTS
12,01/01/2022 12:00:00 AM,RR CROSSING SIGN,UNKNOWN,UNKNOWN
1,01/01/2023 12:00:00 AM,FLASHING CONTROL SIGNAL,NOT FUNCTIONING,UNKNOWN
11,01/01/2021 12:00:00 AM,UNKNOWN,OTHER,NO DEFECTS
1,01/01/2022 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,OTHER
7,01/01/2019 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,OTHER
1,01/01/2023 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,"RUT, HOLES"
1,01/01/2021 12:00:00 AM,OTHER,NOT FUNCTIONING,NO DEFECTS
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,DEBRIS ON ROADWAY
3,01/01/2022 12:00:00 AM,OTHER,NO CONTROLS,OTHER
9,01/01/2021 12:00:00 AM,OTHER WARNING SIGN,NO CONTROLS,NO DEFECTS
1,01/01/2020 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,UNKNOWN
2,01/01/2020 12:00:00 AM,UNKNOWN,FUNCTIONING IMPROPERLY,UNKNOWN
1,01/01/2019 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,"RUT, HOLES"
522,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,NO DEFECTS
3,01/01/2022 12:00:00 AM,SCHOOL ZONE,NO CONTROLS,UNKNOWN
15,01/01/2019 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,"RUT, HOLES"
1,01/01/2019 12:00:00 AM,OTHER,WORN REFLECTIVE MATERIAL,NO DEFECTS
236,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,OTHER,NO DEFECTS
1,01/01/2022 12:00:00 AM,UNKNOWN,NO CONTROLS,SHOULDER DEFECT
4,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,WORN SURFACE
1,01/01/2023 12:00:00 AM,NO CONTROLS,WORN REFLECTIVE MATERIAL,UNKNOWN
95,01/01/2020 12:00:00 AM,OTHER,NO CONTROLS,NO DEFECTS
139,01/01/2019 12:00:00 AM,NO CONTROLS,NO CONTROLS,SHOULDER DEFECT
87,01/01/2023 12:00:00 AM,UNKNOWN,NO CONTROLS,UNKNOWN
3,01/01/2023 12:00:00 AM,OTHER,WORN REFLECTIVE MATERIAL,NO DEFECTS
187,01/01/2022 12:00:00 AM,OTHER,OTHER,NO DEFECTS
60,01/01/2022 12:00:00 AM,UNKNOWN,NO CONTROLS,UNKNOWN
51,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SHOULDER DEFECT
1,01/01/2022 12:00:00 AM,OTHER WARNING SIGN,NO CONTROLS,"RUT, HOLES"
2,01/01/2021 12:00:00 AM,OTHER WARNING SIGN,NO CONTROLS,OTHER
4,01/01/2023 12:00:00 AM,FLASHING CONTROL SIGNAL,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2021 12:00:00 AM,OTHER WARNING SIGN,OTHER,UNKNOWN
1,01/01/2019 12:00:00 AM,RR CROSSING SIGN,UNKNOWN,NO DEFECTS
1,01/01/2020 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,OTHER
1,01/01/2021 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,SHOULDER DEFECT
1,01/01/2022 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,DEBRIS ON ROADWAY
1,01/01/2022 12:00:00 AM,OTHER,MISSING,NO DEFECTS
1,01/01/2022 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,"RUT, HOLES"
1251,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,NO DEFECTS
1,01/01/2020 12:00:00 AM,NO PASSING,OTHER,NO DEFECTS
3,01/01/2023 12:00:00 AM,SCHOOL ZONE,UNKNOWN,NO DEFECTS
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,WORN SURFACE
2,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,OTHER
3,01/01/2022 12:00:00 AM,UNKNOWN,FUNCTIONING IMPROPERLY,UNKNOWN
1,01/01/2019 12:00:00 AM,OTHER REG. SIGN,WORN REFLECTIVE MATERIAL,NO DEFECTS
2,01/01/2022 12:00:00 AM,UNKNOWN,UNKNOWN,SHOULDER DEFECT
36,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,NOT FUNCTIONING,NO DEFECTS
37,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,UNKNOWN
225,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,UNKNOWN
83,01/01/2022 12:00:00 AM,NO CONTROLS,OTHER,NO DEFECTS
2,01/01/2022 12:00:00 AM,RR CROSSING SIGN,NO CONTROLS,NO DEFECTS
1,01/01/2022 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING IMPROPERLY,UNKNOWN
1,01/01/2021 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,SHOULDER DEFECT
4,01/01/2019 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,UNKNOWN
111,01/01/2021 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,NO DEFECTS
6,01/01/2019 12:00:00 AM,UNKNOWN,UNKNOWN,WORN SURFACE
1,01/01/2019 12:00:00 AM,DELINEATORS,NO CONTROLS,UNKNOWN
2,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,WORN REFLECTIVE MATERIAL,WORN SURFACE
1331,01/01/2023 12:00:00 AM,UNKNOWN,UNKNOWN,NO DEFECTS
23,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,OTHER,NO DEFECTS
1,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,OTHER,SHOULDER DEFECT
10,01/01/2020 12:00:00 AM,UNKNOWN,OTHER,NO DEFECTS
1,01/01/2022 12:00:00 AM,OTHER REG. SIGN,UNKNOWN,NO DEFECTS
1,01/01/2022 12:00:00 AM,OTHER,OTHER,WORN SURFACE
3,01/01/2020 12:00:00 AM,UNKNOWN,UNKNOWN,SHOULDER DEFECT
15,01/01/2021 12:00:00 AM,NO CONTROLS,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2019 12:00:00 AM,RAILROAD CROSSING GATE,NO CONTROLS,UNKNOWN
13,01/01/2021 12:00:00 AM,UNKNOWN,FUNCTIONING PROPERLY,UNKNOWN
38,01/01/2020 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2023 12:00:00 AM,NO CONTROLS,MISSING,UNKNOWN
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,WORN SURFACE
3,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,MISSING,NO DEFECTS
2,01/01/2021 12:00:00 AM,POLICE/FLAGMAN,UNKNOWN,NO DEFECTS
1,01/01/2022 12:00:00 AM,NO PASSING,FUNCTIONING PROPERLY,UNKNOWN
3,01/01/2022 12:00:00 AM,PEDESTRIAN CROSSING SIGN,UNKNOWN,NO DEFECTS
49,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,UNKNOWN
2,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,OTHER
1,01/01/2021 12:00:00 AM,RR CROSSING SIGN,NOT FUNCTIONING,NO DEFECTS
2,01/01/2019 12:00:00 AM,NO PASSING,NO CONTROLS,NO DEFECTS
3,01/01/2023 12:00:00 AM,UNKNOWN,FUNCTIONING IMPROPERLY,NO DEFECTS
45,01/01/2022 12:00:00 AM,YIELD,NO CONTROLS,NO DEFECTS
190,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,NO DEFECTS
4,01/01/2020 12:00:00 AM,YIELD,OTHER,NO DEFECTS
2,01/01/2019 12:00:00 AM,RR CROSSING SIGN,FUNCTIONING PROPERLY,UNKNOWN
2,01/01/2020 12:00:00 AM,PEDESTRIAN CROSSING SIGN,UNKNOWN,UNKNOWN
1,01/01/2019 12:00:00 AM,LANE USE MARKING,NO CONTROLS,"RUT, HOLES"
2,01/01/2020 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING IMPROPERLY,NO DEFECTS
4,01/01/2023 12:00:00 AM,NO CONTROLS,UNKNOWN,OTHER
34,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,UNKNOWN
13,01/01/2023 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,UNKNOWN
19,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,WORN SURFACE
476,01/01/2022 12:00:00 AM,NO CONTROLS,UNKNOWN,UNKNOWN
7,01/01/2023 12:00:00 AM,UNKNOWN,UNKNOWN,WORN SURFACE
5,01/01/2020 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING PROPERLY,UNKNOWN
3,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,NOT FUNCTIONING,UNKNOWN
5,01/01/2022 12:00:00 AM,PEDESTRIAN CROSSING SIGN,NO CONTROLS,UNKNOWN
1,01/01/2020 12:00:00 AM,BICYCLE CROSSING SIGN,UNKNOWN,UNKNOWN
23,01/01/2020 12:00:00 AM,OTHER,UNKNOWN,NO DEFECTS
1,01/01/2019 12:00:00 AM,FLASHING CONTROL SIGNAL,NO CONTROLS,NO DEFECTS
3,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,SHOULDER DEFECT
2,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,OTHER,OTHER
12,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,DEBRIS ON ROADWAY
70,01/01/2023 12:00:00 AM,UNKNOWN,FUNCTIONING PROPERLY,NO DEFECTS
6,01/01/2020 12:00:00 AM,RR CROSSING SIGN,UNKNOWN,UNKNOWN
1,01/01/2019 12:00:00 AM,OTHER,FUNCTIONING IMPROPERLY,OTHER
2,01/01/2020 12:00:00 AM,BICYCLE CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
107,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,OTHER
1,01/01/2019 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING PROPERLY,SHOULDER DEFECT
365,01/01/2021 12:00:00 AM,NO CONTROLS,UNKNOWN,NO DEFECTS
2,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,WORN REFLECTIVE MATERIAL,UNKNOWN
1,01/01/2023 12:00:00 AM,BICYCLE CROSSING SIGN,OTHER,NO DEFECTS
5,01/01/2021 12:00:00 AM,RAILROAD CROSSING GATE,UNKNOWN,UNKNOWN
4,01/01/2019 12:00:00 AM,UNKNOWN,UNKNOWN,DEBRIS ON ROADWAY
6,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,DEBRIS ON ROADWAY
2573,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2020 12:00:00 AM,SCHOOL ZONE,FUNCTIONING PROPERLY,UNKNOWN
6,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,WORN REFLECTIVE MATERIAL,NO DEFECTS
2,01/01/2019 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,"RUT, HOLES"
341,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,UNKNOWN
8,01/01/2022 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,UNKNOWN
2,01/01/2021 12:00:00 AM,FLASHING CONTROL SIGNAL,FUNCTIONING IMPROPERLY,UNKNOWN
423,01/01/2020 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,NO DEFECTS
8,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,"RUT, HOLES"
35,01/01/2023 12:00:00 AM,OTHER,UNKNOWN,NO DEFECTS
3,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,MISSING,NO DEFECTS
4,01/01/2020 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,SHOULDER DEFECT
2,01/01/2023 12:00:00 AM,UNKNOWN,UNKNOWN,DEBRIS ON ROADWAY
1,01/01/2021 12:00:00 AM,NO CONTROLS,OTHER,"RUT, HOLES"
3,01/01/2022 12:00:00 AM,UNKNOWN,OTHER,OTHER
1,01/01/2019 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,"RUT, HOLES"
4,01/01/2019 12:00:00 AM,NO CONTROLS,OTHER,OTHER
13,01/01/2020 12:00:00 AM,DELINEATORS,FUNCTIONING PROPERLY,NO DEFECTS
26,01/01/2022 12:00:00 AM,UNKNOWN,FUNCTIONING PROPERLY,UNKNOWN
2,01/01/2022 12:00:00 AM,RAILROAD CROSSING GATE,UNKNOWN,UNKNOWN
1,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,DEBRIS ON ROADWAY
42,01/01/2023 12:00:00 AM,DELINEATORS,FUNCTIONING PROPERLY,NO DEFECTS
17,01/01/2020 12:00:00 AM,NO CONTROLS,FUNCTIONING IMPROPERLY,NO DEFECTS
5,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,OTHER
22,01/01/2019 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,UNKNOWN
116,01/01/2021 12:00:00 AM,NO CONTROLS,NO CONTROLS,SHOULDER DEFECT
5,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,"RUT, HOLES"
1,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,DEBRIS ON ROADWAY
2,01/01/2019 12:00:00 AM,BICYCLE CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
6810,01/01/2020 12:00:00 AM,NO CONTROLS,NO CONTROLS,UNKNOWN
2,01/01/2019 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING IMPROPERLY,NO DEFECTS
27,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,OTHER,NO DEFECTS
102,01/01/2022 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,NO DEFECTS
1,01/01/2023 12:00:00 AM,OTHER REG. SIGN,WORN REFLECTIVE MATERIAL,NO DEFECTS
63,01/01/2020 12:00:00 AM,UNKNOWN,FUNCTIONING PROPERLY,NO DEFECTS
19,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,OTHER
1,01/01/2022 12:00:00 AM,BICYCLE CROSSING SIGN,NO CONTROLS,NO DEFECTS
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,DEBRIS ON ROADWAY
10,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING IMPROPERLY,UNKNOWN
33,01/01/2022 12:00:00 AM,NO CONTROLS,OTHER,UNKNOWN
5,01/01/2020 12:00:00 AM,NO CONTROLS,OTHER,OTHER
1,01/01/2022 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING IMPROPERLY,NO DEFECTS
74,01/01/2022 12:00:00 AM,NO CONTROLS,NO CONTROLS,SHOULDER DEFECT
1,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,OTHER,SHOULDER DEFECT
10,01/01/2022 12:00:00 AM,YIELD,UNKNOWN,UNKNOWN
2,01/01/2023 12:00:00 AM,DELINEATORS,NO CONTROLS,NO DEFECTS
1,01/01/2019 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,"RUT, HOLES"
9,01/01/2020 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,NO DEFECTS
2,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,WORN REFLECTIVE MATERIAL,NO DEFECTS
1,01/01/2020 12:00:00 AM,OTHER,UNKNOWN,OTHER
16,01/01/2020 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2023 12:00:00 AM,SCHOOL ZONE,NO CONTROLS,UNKNOWN
3,01/01/2023 12:00:00 AM,UNKNOWN,FUNCTIONING IMPROPERLY,UNKNOWN
15,01/01/2021 12:00:00 AM,OTHER,OTHER,OTHER
8,01/01/2022 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2019 12:00:00 AM,OTHER WARNING SIGN,NOT FUNCTIONING,NO DEFECTS
8,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,OTHER,UNKNOWN
6,01/01/2023 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2020 12:00:00 AM,DELINEATORS,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2020 12:00:00 AM,OTHER REG. SIGN,OTHER,WORN SURFACE
47,01/01/2020 12:00:00 AM,NO CONTROLS,NO CONTROLS,DEBRIS ON ROADWAY
1,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,NOT FUNCTIONING,OTHER
215,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,"RUT, HOLES"
39,01/01/2020 12:00:00 AM,FLASHING CONTROL SIGNAL,FUNCTIONING PROPERLY,NO DEFECTS
47861,01/01/2022 12:00:00 AM,NO CONTROLS,NO CONTROLS,NO DEFECTS
1,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,MISSING,OTHER
11328,01/01/2023 12:00:00 AM,NO CONTROLS,NO CONTROLS,UNKNOWN
2,01/01/2021 12:00:00 AM,YIELD,OTHER,OTHER
1,01/01/2021 12:00:00 AM,RAILROAD CROSSING GATE,UNKNOWN,NO DEFECTS
2,01/01/2019 12:00:00 AM,RR CROSSING SIGN,NO CONTROLS,NO DEFECTS
5,01/01/2020 12:00:00 AM,PEDESTRIAN CROSSING SIGN,OTHER,NO DEFECTS
1,01/01/2019 12:00:00 AM,OTHER,OTHER,WORN SURFACE
2,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,WORN REFLECTIVE MATERIAL,UNKNOWN
2,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,OTHER,"RUT, HOLES"
16,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,DEBRIS ON ROADWAY
1283,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,NO DEFECTS
1,01/01/2020 12:00:00 AM,SCHOOL ZONE,UNKNOWN,UNKNOWN
4,01/01/2019 12:00:00 AM,LANE USE MARKING,UNKNOWN,UNKNOWN
130,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,NOT FUNCTIONING,NO DEFECTS
10,01/01/2021 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2019 12:00:00 AM,LANE USE MARKING,UNKNOWN,"RUT, HOLES"
112,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,NOT FUNCTIONING,NO DEFECTS
372,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,UNKNOWN
1,01/01/2022 12:00:00 AM,OTHER,UNKNOWN,"RUT, HOLES"
166,01/01/2020 12:00:00 AM,NO CONTROLS,NO CONTROLS,WORN SURFACE
1,01/01/2023 12:00:00 AM,OTHER,NOT FUNCTIONING,NO DEFECTS
1,01/01/2020 12:00:00 AM,FLASHING CONTROL SIGNAL,FUNCTIONING IMPROPERLY,OTHER
1,01/01/2022 12:00:00 AM,RAILROAD CROSSING GATE,NOT FUNCTIONING,OTHER
2,01/01/2019 12:00:00 AM,NO CONTROLS,MISSING,UNKNOWN
18,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,"RUT, HOLES"
50563,01/01/2021 12:00:00 AM,NO CONTROLS,NO CONTROLS,NO DEFECTS
7,01/01/2023 12:00:00 AM,NO CONTROLS,UNKNOWN,"RUT, HOLES"
3,01/01/2023 12:00:00 AM,OTHER WARNING SIGN,NO CONTROLS,NO DEFECTS
1,01/01/2021 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,WORN SURFACE
1,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,FUNCTIONING PROPERLY,UNKNOWN
57,01/01/2023 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
6,01/01/2019 12:00:00 AM,OTHER WARNING SIGN,UNKNOWN,NO DEFECTS
24,01/01/2019 12:00:00 AM,OTHER,UNKNOWN,NO DEFECTS
3,01/01/2020 12:00:00 AM,POLICE/FLAGMAN,WORN REFLECTIVE MATERIAL,NO DEFECTS
1,01/01/2020 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,"RUT, HOLES"
10,01/01/2019 12:00:00 AM,UNKNOWN,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2021 12:00:00 AM,SCHOOL ZONE,NO CONTROLS,UNKNOWN
1,01/01/2019 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING IMPROPERLY,UNKNOWN
2,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,OTHER,"RUT, HOLES"
